datum,lat,lon,nadmorska_vyska_m,teplota_max_C,srazky_mm,vitr_max_kmh,slunce_MJm2,riziko_pozaru
2022-01-20,48.6,12.1,477.0,2.8,2.5,29.2,2.32,0
2022-01-20,49.6,18.6,991.0,-2.0,2.2,24.9,2.85,0
2022-01-20,50.1,12.1,585.0,0.4,3.0,27.1,2.51,0
2022-01-20,50.1,13.6,373.0,2.0,4.3,27.0,4.9,0
2022-01-20,48.6,16.6,214.0,6.2,1.2,32.0,4.6,0
2022-01-20,50.6,18.6,248.0,2.6,2.3,33.3,3.94,0
2022-01-20,50.1,14.1,417.0,2.3,6.1,30.7,4.49,0
2022-01-20,50.1,14.6,238.0,2.7,5.0,32.8,3.8,0
2022-01-20,48.6,16.1,244.0,5.8,2.1,33.8,4.86,0
2022-01-20,50.1,15.1,209.0,3.2,3.2,31.5,3.98,0
2022-01-20,48.6,15.6,471.0,4.3,2.9,30.5,4.51,0
2022-01-20,50.1,15.6,253.0,2.8,4.8,32.2,4.36,0
2022-01-20,50.6,16.6,790.0,-1.4,2.6,30.5,4.76,0
2022-01-20,50.1,16.1,258.0,2.3,8.3,32.9,4.25,0
2022-01-20,48.6,15.1,580.0,1.8,2.3,30.7,3.69,0
2022-01-20,50.1,16.6,650.0,-0.3,7.6,26.2,3.83,0
2022-01-20,48.6,14.6,930.0,-1.0,4.0,27.7,3.4,0
2022-01-20,50.1,17.6,478.0,2.3,1.1,28.9,4.27,0
2022-01-20,50.1,18.6,239.0,3.4,1.8,35.9,3.66,0
2022-01-20,48.6,14.1,862.0,-1.3,8.4,28.1,2.32,0
2022-01-20,50.6,12.1,357.0,2.0,5.8,27.2,3.09,0
2022-01-20,50.6,12.6,533.0,0.9,12.4,29.4,3.27,0
2022-01-20,48.6,13.6,382.0,2.3,8.1,27.0,1.91,0
2022-01-20,50.6,13.1,602.0,-0.5,9.1,35.9,4.15,0
2022-01-20,48.6,13.1,316.0,3.2,2.8,30.8,2.42,0
2022-01-20,50.6,15.6,442.0,0.0,5.9,30.1,4.7,0
2022-01-20,50.6,17.1,275.0,2.5,1.8,36.6,4.2,0
2022-01-20,50.6,13.6,340.0,2.4,5.7,25.9,4.64,0
